period,respondent,respondent-name,type,type-name,timezone,timezone-description,value,value-units
2026-03-10,SCL,Seattle City Light,DF,Day-ahead demand forecast,Eastern,Eastern,29761,megawatthours
2026-03-10,SCL,Seattle City Light,DF,Day-ahead demand forecast,Mountain,Mountain,29844,megawatthours
2026-03-10,SCL,Seattle City Light,DF,Day-ahead demand forecast,Pacific,Pacific,29875,megawatthours
2026-03-10,SE,Southeast,DF,Day-ahead demand forecast,Central,Central,602811,megawatthours
2026-03-10,SE,Southeast,DF,Day-ahead demand forecast,Eastern,Eastern,602401,megawatthours
2026-03-10,SEC,Seminole Electric Cooperative,DF,Day-ahead demand forecast,Eastern,Eastern,5500,megawatthours
2026-03-10,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast,Central,Central,602811,megawatthours
2026-03-10,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast,Eastern,Eastern,602401,megawatthours
2026-03-10,SRP,Salt River Project Agricultural Improvement and Power District,DF,Day-ahead demand forecast,Arizona,Arizona,80661,megawatthours
2026-03-10,SRP,Salt River Project Agricultural Improvement and Power District,DF,Day-ahead demand forecast,Central,Central,80249,megawatthours
2026-03-10,SRP,Salt River Project Agricultural Improvement and Power District,DF,Day-ahead demand forecast,Eastern,Eastern,80025,megawatthours
2026-03-10,SRP,Salt River Project Agricultural Improvement and Power District,DF,Day-ahead demand forecast,Mountain,Mountain,80477,megawatthours
2026-03-10,SRP,Salt River Project Agricultural Improvement and Power District,DF,Day-ahead demand forecast,Pacific,Pacific,80661,megawatthours
2026-03-10,SW,Southwest,DF,Day-ahead demand forecast,Arizona,Arizona,270352,megawatthours
2026-03-10,SW,Southwest,DF,Day-ahead demand forecast,Central,Central,270032,megawatthours
2026-03-10,SW,Southwest,DF,Day-ahead demand forecast,Eastern,Eastern,269784,megawatthours
2026-03-10,SW,Southwest,DF,Day-ahead demand forecast,Mountain,Mountain,270308,megawatthours
2026-03-10,SW,Southwest,DF,Day-ahead demand forecast,Pacific,Pacific,270352,megawatthours
2026-03-10,SWPP,Southwest Power Pool,DF,Day-ahead demand forecast,Central,Central,767578,megawatthours
2026-03-10,SWPP,Southwest Power Pool,DF,Day-ahead demand forecast,Eastern,Eastern,771024,megawatthours
2026-03-10,TAL,City of Tallahassee,DF,Day-ahead demand forecast,Eastern,Eastern,7311,megawatthours
2026-03-10,TEC,Tampa Electric Company,DF,Day-ahead demand forecast,Eastern,Eastern,61699,megawatthours
2026-03-10,TEN,Tennessee,DF,Day-ahead demand forecast,Central,Central,407704,megawatthours
2026-03-10,TEN,Tennessee,DF,Day-ahead demand forecast,Eastern,Eastern,407787,megawatthours
2026-03-10,TEPC,Tucson Electric Power,DF,Day-ahead demand forecast,Arizona,Arizona,33579,megawatthours
2026-03-10,TEPC,Tucson Electric Power,DF,Day-ahead demand forecast,Central,Central,33546,megawatthours
2026-03-10,TEPC,Tucson Electric Power,DF,Day-ahead demand forecast,Eastern,Eastern,33530,megawatthours
2026-03-10,TEPC,Tucson Electric Power,DF,Day-ahead demand forecast,Mountain,Mountain,33564,megawatthours
2026-03-10,TEPC,Tucson Electric Power,DF,Day-ahead demand forecast,Pacific,Pacific,33579,megawatthours
2026-03-10,TEX,Texas,DF,Day-ahead demand forecast,Central,Central,1270735,megawatthours
2026-03-10,TEX,Texas,DF,Day-ahead demand forecast,Eastern,Eastern,1271421,megawatthours
2026-03-10,TPWR,"City of Tacoma, Department of Public Utilities, Light Division",DF,Day-ahead demand forecast,Arizona,Arizona,15756,megawatthours
2026-03-10,TPWR,"City of Tacoma, Department of Public Utilities, Light Division",DF,Day-ahead demand forecast,Central,Central,15738,megawatthours
2026-03-10,TPWR,"City of Tacoma, Department of Public Utilities, Light Division",DF,Day-ahead demand forecast,Eastern,Eastern,15732,megawatthours
2026-03-10,TPWR,"City of Tacoma, Department of Public Utilities, Light Division",DF,Day-ahead demand forecast,Mountain,Mountain,15749,megawatthours
2026-03-10,TPWR,"City of Tacoma, Department of Public Utilities, Light Division",DF,Day-ahead demand forecast,Pacific,Pacific,15756,megawatthours
2026-03-10,TVA,Tennessee Valley Authority,DF,Day-ahead demand forecast,Central,Central,407704,megawatthours
2026-03-10,TVA,Tennessee Valley Authority,DF,Day-ahead demand forecast,Eastern,Eastern,407787,megawatthours
2026-03-10,US48,United States Lower 48,DF,Day-ahead demand forecast,Arizona,Arizona,1520562,megawatthours
2026-03-10,US48,United States Lower 48,DF,Day-ahead demand forecast,Central,Central,6691284,megawatthours
2026-03-10,US48,United States Lower 48,DF,Day-ahead demand forecast,Eastern,Eastern,10600230,megawatthours
2026-03-10,US48,United States Lower 48,DF,Day-ahead demand forecast,Mountain,Mountain,1792912,megawatthours
2026-03-10,US48,United States Lower 48,DF,Day-ahead demand forecast,Pacific,Pacific,1520562,megawatthours
2026-03-10,WACM,Western Area Power Administration - Rocky Mountain Region,DF,Day-ahead demand forecast,Arizona,Arizona,76005,megawatthours
2026-03-10,WACM,Western Area Power Administration - Rocky Mountain Region,DF,Day-ahead demand forecast,Central,Central,76050,megawatthours
2026-03-10,WACM,Western Area Power Administration - Rocky Mountain Region,DF,Day-ahead demand forecast,Eastern,Eastern,76053,megawatthours
2026-03-10,WACM,Western Area Power Administration - Rocky Mountain Region,DF,Day-ahead demand forecast,Mountain,Mountain,76037,megawatthours
2026-03-10,WACM,Western Area Power Administration - Rocky Mountain Region,DF,Day-ahead demand forecast,Pacific,Pacific,76005,megawatthours
2026-03-10,WALC,Western Area Power Administration - Desert Southwest Region,DF,Day-ahead demand forecast,Arizona,Arizona,17423,megawatthours
2026-03-10,WALC,Western Area Power Administration - Desert Southwest Region,DF,Day-ahead demand forecast,Central,Central,17467,megawatthours
2026-03-10,WALC,Western Area Power Administration - Desert Southwest Region,DF,Day-ahead demand forecast,Eastern,Eastern,17394,megawatthours
2026-03-10,WALC,Western Area Power Administration - Desert Southwest Region,DF,Day-ahead demand forecast,Mountain,Mountain,17482,megawatthours
2026-03-10,WALC,Western Area Power Administration - Desert Southwest Region,DF,Day-ahead demand forecast,Pacific,Pacific,17423,megawatthours
2026-03-09,AECI,"Associated Electric Cooperative, Inc.",D,Demand,Arizona,Arizona,47166,megawatthours
2026-03-09,AECI,"Associated Electric Cooperative, Inc.",D,Demand,Central,Central,47764,megawatthours
2026-03-09,AECI,"Associated Electric Cooperative, Inc.",D,Demand,Eastern,Eastern,47970,megawatthours
2026-03-09,AECI,"Associated Electric Cooperative, Inc.",D,Demand,Mountain,Mountain,47480,megawatthours
2026-03-09,AECI,"Associated Electric Cooperative, Inc.",D,Demand,Pacific,Pacific,47166,megawatthours
2026-03-09,AECI,"Associated Electric Cooperative, Inc.",DF,Day-ahead demand forecast,Arizona,Arizona,46556,megawatthours
2026-03-09,AECI,"Associated Electric Cooperative, Inc.",DF,Day-ahead demand forecast,Central,Central,46888,megawatthours
2026-03-09,AECI,"Associated Electric Cooperative, Inc.",DF,Day-ahead demand forecast,Eastern,Eastern,47003,megawatthours
2026-03-09,AECI,"Associated Electric Cooperative, Inc.",DF,Day-ahead demand forecast,Mountain,Mountain,46722,megawatthours
2026-03-09,AECI,"Associated Electric Cooperative, Inc.",DF,Day-ahead demand forecast,Pacific,Pacific,46556,megawatthours
2026-03-09,AECI,"Associated Electric Cooperative, Inc.",NG,Net generation,Arizona,Arizona,51647,megawatthours
2026-03-09,AECI,"Associated Electric Cooperative, Inc.",NG,Net generation,Central,Central,51405,megawatthours
2026-03-09,AECI,"Associated Electric Cooperative, Inc.",NG,Net generation,Eastern,Eastern,51278,megawatthours
2026-03-09,AECI,"Associated Electric Cooperative, Inc.",NG,Net generation,Mountain,Mountain,51647,megawatthours
2026-03-09,AECI,"Associated Electric Cooperative, Inc.",NG,Net generation,Pacific,Pacific,51647,megawatthours
2026-03-09,AECI,"Associated Electric Cooperative, Inc.",TI,Total interchange,Central,Central,3641,megawatthours
2026-03-09,AECI,"Associated Electric Cooperative, Inc.",TI,Total interchange,Eastern,Eastern,3308,megawatthours
2026-03-09,AVA,Avista Corporation,D,Demand,Arizona,Arizona,36873,megawatthours
2026-03-09,AVA,Avista Corporation,D,Demand,Central,Central,36517,megawatthours
2026-03-09,AVA,Avista Corporation,D,Demand,Eastern,Eastern,36340,megawatthours
2026-03-09,AVA,Avista Corporation,D,Demand,Mountain,Mountain,36688,megawatthours
2026-03-09,AVA,Avista Corporation,D,Demand,Pacific,Pacific,36873,megawatthours
2026-03-09,AVA,Avista Corporation,DF,Day-ahead demand forecast,Arizona,Arizona,36699,megawatthours
2026-03-09,AVA,Avista Corporation,DF,Day-ahead demand forecast,Central,Central,36321,megawatthours
2026-03-09,AVA,Avista Corporation,DF,Day-ahead demand forecast,Eastern,Eastern,36099,megawatthours
2026-03-09,AVA,Avista Corporation,DF,Day-ahead demand forecast,Mountain,Mountain,36536,megawatthours
2026-03-09,AVA,Avista Corporation,DF,Day-ahead demand forecast,Pacific,Pacific,36699,megawatthours
2026-03-09,AVA,Avista Corporation,NG,Net generation,Arizona,Arizona,23406,megawatthours
2026-03-09,AVA,Avista Corporation,NG,Net generation,Central,Central,22818,megawatthours
2026-03-09,AVA,Avista Corporation,NG,Net generation,Eastern,Eastern,22300,megawatthours
